Gene	GeneID	Gene_type	DORGE-TSG_score	Drug_Name	CREEDS_ID	GEO_ID	DrugBank_ID	p-value	q-value	Fold_Change	Specificity
COPS3	8533	Novel DORGE-TSG	0.628993243317041	Nitricoxide	drug:3181	GSE13887	DB00435	7.88727E-5	3.33602E-4	0.251732	1.359434475258292E-4
COPS3	8533	Novel DORGE-TSG	0.628993243317041	Doxorubicin	drug:3260	GSE6930	DB00997	2.05966E-4	0.00447444	0.349702	8.547008547008547E-4
COPS3	8533	Novel DORGE-TSG	0.628993243317041	Puromycin,ec50,5d	drug:3270	GSE6930		2.12178E-4	6.2425E-4	0.237242	3.644314868804665E-4
COPS3	8533	Novel DORGE-TSG	0.628993243317041	Naturalalphainterferon	drug:2474	GSE5542	DB05258	2.40673E-4	8.81444E-4	0.0184031	2.962962962962963E-4
COPS3	8533	Novel DORGE-TSG	0.628993243317041	Vanadiumpentoxide	drug:3556	GSE5339		3.07363E-4	0.00321277	0.284051	4.782400765184123E-4
COPS3	8533	Novel DORGE-TSG	0.628993243317041	Estradiol	drug:2487	GSE46924	DB00783	3.79516E-4	0.00563615	0.436198	4.770992366412214E-4
COPS3	8533	Novel DORGE-TSG	0.628993243317041	Bisphenola	drug:2663	GSE17624		4.31019E-4	0.00149092	0.497126	1.974333662388944E-4
COPS3	8533	Novel DORGE-TSG	0.628993243317041	Vanadiumpentoxide	drug:3558	GSE5339		6.43287E-4	0.00138636	0.32455	1.523925632429137E-4
COPS3	8533	Novel DORGE-TSG	0.628993243317041	Vx	drug:3345	GSE33606		7.78896E-4	0.00955763	0.226192	5.347593582887701E-4
COPS3	8533	Novel DORGE-TSG	0.628993243317041	Vanadiumpentoxide	drug:3557	GSE5339		7.95351E-4	0.00413251	0.327484	3.581661891117478E-4
COPS3	8533	Novel DORGE-TSG	0.628993243317041	Carboplatin	drug:3089	GSE13525	DB00958	8.27627E-4	0.0095955	0.233216	5.793742757821553E-4
COPS3	8533	Novel DORGE-TSG	0.628993243317041	Sirolimus	drug:2459	GSE5824	DB00877	8.73481E-4	0.0288554	0.389157	0.002475247524752475
COPS3	8533	Novel DORGE-TSG	0.628993243317041	Etanercept	drug:2597	GSE36177	DB00005	0.00118822	0.0129365	0.632466	5.995203836930455E-4
COPS3	8533	Novel DORGE-TSG	0.628993243317041	Bortezomib	drug:2686	GSE30931	DB00188	0.00123306	0.0183646	0.409897	0.001024590163934426
COPS3	8533	Novel DORGE-TSG	0.628993243317041	Estradiol	drug:3203	GSE12446	DB00783	0.00150912	0.0109215	0.366201	3.292723081988805E-4
COPS3	8533	Novel DORGE-TSG	0.628993243317041	R1881	drug:3048	GSE22606		0.00170955	0.00841061	0.26643	3.556187766714083E-4
COPS3	8533	Novel DORGE-TSG	0.628993243317041	Trovafloxacin	drug:2623	GSE9166	DB00685	0.0021392	0.00785172	1.12172	5.733944954128441E-4
COPS3	8533	Novel DORGE-TSG	0.628993243317041	Mesalazine	drug:3289	GSE38713	DB00244	0.00249455	0.0383018	0.50807	0.001233045622688039
COPS3	8533	Novel DORGE-TSG	0.628993243317041	Lipopolysaccharide	drug:3486	GSE5504		0.00413918	0.0257711	0.49	2.989536621823618E-4
COPS3	8533	Novel DORGE-TSG	0.628993243317041	Insulin	drug:3368	GSE22309		0.00483358	0.0312677	0.237895	0.001319261213720317
COPS3	8533	Novel DORGE-TSG	0.628993243317041	Estradiol	drug:3061	GSE4668	DB00783	0.00493401	0.0154051	0.17912	4.139072847682119E-4
COPS3	8533	Novel DORGE-TSG	0.628993243317041	Celecoxib	drug:2501	GSE54657	DB00482	0.00601519	0.0250567	0.165836	3.017501508750754E-4
COPS3	8533	Novel DORGE-TSG	0.628993243317041	Neocarzinostatin	drug:3113	GSE1676		0.008885	0.0237255	0.302406	5.899705014749262E-4
COPS3	8533	Novel DORGE-TSG	0.628993243317041	Clinafloxacin	drug:2625	GSE9166		0.0109013	0.0399233	0.278364	7.782101167315176E-4
COPS3	8533	Novel DORGE-TSG	0.628993243317041	Cadmium	drug:3402	GSE9951		0.0183142	0.0220199	0.257368	9.932459276916965E-5
COPS3	8533	Novel DORGE-TSG	0.628993243317041	Bisphenola	drug:2661	GSE17624		0.023273	0.0465242	0.0511695	2.039151712887439E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Doxorubicin	drug:3263	GSE6930	DB00997	3.76453E-10	1.46004E-9	0.050373	1.692047377326565E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Lmp-420	drug:3222	GSE20211		8.15653E-8	2.57431E-6	0.109733	2.338087444470423E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Aplidin	drug:2598	GSE5681		1.13128E-6	1.84618E-5	0.337005	2.188183807439825E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Imatinib	drug:2526	GSE22433	DB00619	1.97572E-6	3.84638E-5	0.783072	2.952465308532625E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Bisphenola	drug:2663	GSE17624		2.00317E-6	2.38261E-5	0.616145	1.974333662388944E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Cycloheximide	drug:3059	GSE8597		3.48029E-6	2.72121E-5	0.421382	2.105706464518846E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Promegestone	drug:3694	GSE67561		4.16973E-6	8.70721E-5	0.348284	5.543237250554324E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Thapsigargin	drug:3236	GSE19519		4.35676E-6	5.96788E-5	0.234643	4.526935264825713E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Nitricoxide	drug:3181	GSE13887	DB00435	9.22542E-6	5.72294E-5	0.103532	1.359434475258292E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Cytarabine	drug:3424	GSE6930	DB00987	3.2452E-5	2.06738E-4	0.480445	3.41180484476288E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	R1881	drug:3048	GSE22606		6.56968E-5	6.97621E-4	0.555983	3.556187766714083E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Celecoxib	drug:2501	GSE54657	DB00482	9.87079E-5	0.00229521	0.305707	3.017501508750754E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Vanadiumpentoxide	drug:3558	GSE5339		1.16427E-4	3.54215E-4	0.438519	1.523925632429137E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Chlorpyrifos	drug:3571	GSE5023		1.23523E-4	9.82789E-4	0.547136	2.67379679144385E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Cisplatin	drug:3153	GSE47856	DB00515	1.50923E-4	8.51671E-4	0.21026	1.843657817109145E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Lipopolysaccharide	drug:2475	GSE40885		1.56278E-4	0.00416503	0.560226	7.782101167315176E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Dasatinib	drug:3306	GSE59357	DB01254	2.40664E-4	7.27512E-4	0.261472	1.271617497456765E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	R1881	drug:3049	GSE22606		3.31862E-4	0.00349192	0.31728	4.257130693912303E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Vx	drug:3345	GSE33606		3.32637E-4	0.00531098	0.275254	5.347593582887701E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Vemurafenib	drug:2564	GSE37441	DB08881	4.28969E-4	0.0020606	0.346767	2.885170225043277E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Cisplatin	drug:3155	GSE47856	DB00515	5.0039E-4	0.00594741	0.24167	3.699593044765076E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Interferonbeta-1a	drug:3186	GSE26104	DB00060	5.07911E-4	0.00444278	0.26125	2.985965959988056E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Triiodothyronine-[13c6]hydrochloride(t3thyronine)	drug:3043	GSE29159		5.1139E-4	0.0147307	0.172759	9.75609756097561E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Resveratrol	drug:3500	GSE25412	DB02709	6.02644E-4	0.00297946	0.45198	2.961208172934557E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Sulforaphane	drug:3445	GSE28813		7.12626E-4	0.00420372	0.735962	2.112378538234052E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Harman	drug:3482	GSE5080		8.05898E-4	0.00335087	0.0495235	2.619858527639508E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Trovafloxacin	drug:2623	GSE9166	DB00685	8.41203E-4	0.00395847	1.0202	5.733944954128441E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Interferonbeta-1a	drug:3187	GSE26104	DB00060	9.5779E-4	0.0048743	0.20125	2.410219329959026E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Alfacalcidol	drug:3364	GSE15947	DB01436	0.00104048	0.0113861	0.255521	5.963029218843172E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Vemurafenib	drug:2563	GSE37441	DB08881	0.00190727	0.0288305	0.329867	0.001340482573726542
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	4-hydroxytamoxifen	drug:3240	GSE26298		0.00231799	0.00872703	0.180207	1.705611461709023E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Y15	drug:2553	GSE43452		0.00235055	0.0225928	0.43554	6.688963210702341E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Interferongamma-1b	drug:2476	GSE5542	DB00033	0.00262223	0.00663414	0.0175708	3.139717425431711E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Lipopolysaccharide	drug:3484	GSE5504		0.00265853	0.0297332	0.3475	5.387931034482759E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Bisphenola	drug:2659	GSE17624		0.00305812	0.023769	0.440614	6.188118811881188E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Metformin	drug:2483	GSE33612	DB00331	0.00373892	0.0146626	0.214303	2.707092582566324E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Imatinib	drug:2515	GSE1922	DB00619	0.0039875	0.0142369	0.0364559	4.156275976724855E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Mln4924	drug:2647	GSE30531		0.00539412	0.0330132	0.427925	5.192107995846313E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	3,3',4,4'-tetrachlorobiphenyl	drug:3273	GSE6878		0.00677105	0.0402782	0.241346	5.012531328320802E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Doxorubicin	drug:3262	GSE6930	DB00997	0.0071666	0.0178014	0.239048	5.254860746190226E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Phorbol12-myristate13-acetate(pma)	drug:3246	GSE45417		0.0080806	0.0313635	0.299462	3.940110323089047E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Arachidonicacid	drug:3171	GSE3737	DB04557	0.00903464	0.017993	0.264087	1.329080276448698E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Argyrina	drug:3054	GSE8565		0.00955297	0.0290972	0.30578	2.547121752419766E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Cyfluthrin	drug:3572	GSE5023		0.01316	0.0329543	0.122066	2.352941176470588E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Cisplatin	drug:3148	GSE47856	DB00515	0.0136129	0.0417246	0.410253	2.845759817871372E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Plx4032	drug:2558	GSE50649	DB05238	0.0149296	0.0462587	0.302372	2.759381898454746E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Interferonbeta-1b	drug:3343	GSE26104	DB00068	0.0158437	0.0283262	0.015	1.696928559307653E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Doxorubicin	drug:2720	GSE12972	DB00997	0.0158609	0.0179732	0.380125	2.027986209693774E-4
ARL8B	55207	Novel DORGE-TSG	0.736570503197622	Bpde	drug:3379	GSE19510		0.0183678	0.0334309	0.0358048	1.636125654450262E-4
ARHGEF10	9639	CGC-TSG	0.716814899886456	Dasatinib	drug:3306	GSE59357	DB01254	1.56132E-11	1.11387E-9	1.76399	1.271617497456765E-4
ARHGEF10	9639	CGC-TSG	0.716814899886456	Antimony	drug:3532	GSE6907		5.70288E-8	5.05132E-7	0.101127	2.347417840375587E-4
ARHGEF10	9639	CGC-TSG	0.716814899886456	Etanercept	drug:2610	GSE11903	DB00005	2.59024E-7	2.48105E-5	1.35898	4.177109440267335E-4
ARHGEF10	9639	CGC-TSG	0.716814899886456	Estradiol	drug:3061	GSE4668	DB00783	1.11E-6	3.14081E-5	0.505742	4.139072847682119E-4
ARHGEF10	9639	CGC-TSG	0.716814899886456	Fgfr-specificpd173074inhibitor	drug:3244	GSE52452		5.37371E-6	1.16673E-4	0.684552	2.619172341540073E-4
ARHGEF10	9639	CGC-TSG	0.716814899886456	Mesalazine	drug:3195	GSE38713	DB00244	1.19757E-5	4.01447E-4	0.0995822	4.342162396873643E-4
ARHGEF10	9639	CGC-TSG	0.716814899886456	4-hydroxytamoxifen	drug:3240	GSE26298		7.75373E-5	7.44674E-4	0.651031	1.705611461709023E-4
ARHGEF10	9639	CGC-TSG	0.716814899886456	Vemurafenib	drug:2508	GSE63790	DB08881	1.1126E-4	9.16403E-4	0.218503	3.143665513989311E-4
ARHGEF10	9639	CGC-TSG	0.716814899886456	Bisphenola	drug:2663	GSE17624		1.55773E-4	6.49447E-4	0.515954	1.974333662388944E-4
ARHGEF10	9639	CGC-TSG	0.716814899886456	Cadmium	drug:3402	GSE9951		2.72966E-4	6.09775E-4	0.0360494	9.932459276916965E-5
ARHGEF10	9639	CGC-TSG	0.716814899886456	Tretinoin	drug:3139	GSE54464	DB00755	6.75138E-4	0.0363836	0.437973	0.00390625
ARHGEF10	9639	CGC-TSG	0.716814899886456	Tretinoin	drug:3233	GSE23702	DB00755	0.00201884	0.00290684	0.215	1.034875297526648E-4
ARHGEF10	9639	CGC-TSG	0.716814899886456	4-hydroxynonenal	drug:3081	GSE2397		0.00225309	0.0106107	0.229639	2.799552071668533E-4
ARHGEF10	9639	CGC-TSG	0.716814899886456	Bisphenola	drug:2654	GSE17624		0.00261394	0.0255623	0.299039	6.548788474132286E-4
ARHGEF10	9639	CGC-TSG	0.716814899886456	Insulin	drug:3368	GSE22309		0.00278449	0.021794	0.150694	0.001319261213720317
ARHGEF10	9639	CGC-TSG	0.716814899886456	Cytarabine	drug:3424	GSE6930	DB00987	0.00289419	0.00819176	0.358795	3.41180484476288E-4
ARHGEF10	9639	CGC-TSG	0.716814899886456	Estradiol	drug:3063	GSE4668	DB00783	0.00301124	0.0286939	0.69842	0.00111358574610245
ARHGEF10	9639	CGC-TSG	0.716814899886456	Bpde	drug:3379	GSE19510		0.0031735	0.00751035	0.138179	1.636125654450262E-4
ARHGEF10	9639	CGC-TSG	0.716814899886456	Quercetin	drug:3416	GSE7259		0.00350895	0.0284266	0.0794012	6.309148264984228E-4
ARHGEF10	9639	CGC-TSG	0.716814899886456	4-hydroxynonenal	drug:3080	GSE2397		0.00367078	0.0124815	0.179678	2.170138888888889E-4
ARHGEF10	9639	CGC-TSG	0.716814899886456	Aminolevulinicacid	drug:2575	GSE8920	DB00855	0.00458097	0.0106097	0.210969	2.684563758389261E-4
ARHGEF10	9639	CGC-TSG	0.716814899886456	4-hydroxynonenal	drug:3079	GSE2397		0.00479571	0.0204443	0.251364	3.29489291598023E-4
ARHGEF10	9639	CGC-TSG	0.716814899886456	Doxorubicin	drug:2533	GSE24460	DB00997	0.00487887	0.0230477	0.740762	5.307855626326964E-4
ARHGEF10	9639	CGC-TSG	0.716814899886456	Etanercept	drug:2605	GSE41663	DB00005	0.00546341	0.0347062	0.863079	5.497526113249038E-4
ARHGEF10	9639	CGC-TSG	0.716814899886456	Estradiol	drug:2733	GSE26834	DB00783	0.00948085	0.0307865	0.0805878	4.046944556859571E-4
ARHGEF10	9639	CGC-TSG	0.716814899886456	Plx4032	drug:2558	GSE50649	DB05238	0.011038	0.0361494	0.316687	2.759381898454746E-4
ARHGEF10	9639	CGC-TSG	0.716814899886456	Tretinoin	drug:2828	GSE23702	DB00755	0.0167707	0.0213621	0.131667	1.083071591032167E-4
ARHGEF10	9639	CGC-TSG	0.716814899886456	Bisphenola	drug:2661	GSE17624		0.0203072	0.0415222	0.132564	2.039151712887439E-4
ARHGEF10	9639	CGC-TSG	0.716814899886456	Imatinib	drug:2517	GSE1922	DB00619	0.0281027	0.0451763	0.161223	2.141786249732277E-4
KAT8	84148	Novel DORGE-TSG	0.748824004747642	Interferonbeta-1b	drug:3343	GSE26104	DB00068	5.46446E-7	8.35619E-6	0.03875	1.696928559307653E-4
KAT8	84148	Novel DORGE-TSG	0.748824004747642	Etanercept	drug:2597	GSE36177	DB00005	1.39448E-5	5.23458E-4	0.642837	5.995203836930455E-4
KAT8	84148	Novel DORGE-TSG	0.748824004747642	Carboplatin	drug:3174	GSE49577	DB00958	1.4209E-5	0.00188507	0.129377	9.784735812133072E-4
KAT8	84148	Novel DORGE-TSG	0.748824004747642	Cediranib	drug:2642	GSE32569		2.49453E-5	5.02117E-5	0.101921	1.067691650651292E-4
KAT8	84148	Novel DORGE-TSG	0.748824004747642	Mesalazine	drug:3195	GSE38713	DB00244	4.7399E-5	0.00105708	0.144703	4.342162396873643E-4
KAT8	84148	Novel DORGE-TSG	0.748824004747642	Dexamethasone	drug:3169	GSE34313	DB01234	1.50694E-4	0.00119399	0.592896	2.454590083456063E-4
KAT8	84148	Novel DORGE-TSG	0.748824004747642	Vemurafenib	drug:2564	GSE37441	DB08881	1.68695E-4	9.0958E-4	0.409677	2.885170225043277E-4
KAT8	84148	Novel DORGE-TSG	0.748824004747642	Doxorubicin	drug:3179	GSE58074	DB00997	1.78008E-4	0.00119208	0.388915	2.85143997718848E-4
KAT8	84148	Novel DORGE-TSG	0.748824004747642	Alfacalcidol	drug:3364	GSE15947	DB01436	2.17253E-4	0.00356658	0.112242	5.963029218843172E-4
KAT8	84148	Novel DORGE-TSG	0.748824004747642	Etanercept	drug:2610	GSE11903	DB00005	2.61775E-4	0.00208993	0.203933	4.177109440267335E-4
KAT8	84148	Novel DORGE-TSG	0.748824004747642	Estradiol	drug:3061	GSE4668	DB00783	3.85721E-4	0.00214961	0.10236	4.139072847682119E-4
KAT8	84148	Novel DORGE-TSG	0.748824004747642	Metformin	drug:2483	GSE33612	DB00331	4.59922E-4	0.00283469	0.361647	2.707092582566324E-4
KAT8	84148	Novel DORGE-TSG	0.748824004747642	Cadmium	drug:3402	GSE9951		5.18677E-4	9.9528E-4	0.247295	9.932459276916965E-5
KAT8	84148	Novel DORGE-TSG	0.748824004747642	Lapatinib	drug:2584	GSE38376	DB01259	6.28264E-4	0.00627032	0.386639	5.824111822947001E-4
KAT8	84148	Novel DORGE-TSG	0.748824004747642	Cycloheximide	drug:3059	GSE8597		7.12133E-4	0.00256653	0.281827	2.105706464518846E-4
KAT8	84148	Novel DORGE-TSG	0.748824004747642	Doxorubicin	drug:3180	GSE58074	DB00997	0.00100802	0.00476655	0.526148	2.877697841726619E-4
KAT8	84148	Novel DORGE-TSG	0.748824004747642	Arachidonicacid	drug:3171	GSE3737	DB04557	0.00107371	0.00383071	0.55665	1.329080276448698E-4
KAT8	84148	Novel DORGE-TSG	0.748824004747642	Dasatinib	drug:3306	GSE59357	DB01254	0.0015326	0.00368696	0.230496	1.271617497456765E-4
KAT8	84148	Novel DORGE-TSG	0.748824004747642	4-hydroxynonenal	drug:3081	GSE2397		0.00193201	0.00950721	0.154667	2.799552071668533E-4
KAT8	84148	Novel DORGE-TSG	0.748824004747642	Dexamethasone	drug:2714	GSE34313	DB01234	0.00222906	0.0324786	0.265989	0.00125
KAT8	84148	Novel DORGE-TSG	0.748824004747642	Adenosinetriphosphate	drug:3220	GSE30903		0.00318478	0.0128558	0.0767535	2.76243093922652E-4
KAT8	84148	Novel DORGE-TSG	0.748824004747642	Cisplatin	drug:3152	GSE47856	DB00515	0.0035227	0.0112781	0.228163	2.019793981013936E-4
KAT8	84148	Novel DORGE-TSG	0.748824004747642	Calcitriol	drug:3129	GSE52819		0.00364403	0.0164774	0.177907	2.928257686676427E-4
KAT8	84148	Novel DORGE-TSG	0.748824004747642	Azacitidine	drug:2534	GSE29077	DB00928	0.00370598	0.0403007	0.230532	0.001251564455569462
KAT8	84148	Novel DORGE-TSG	0.748824004747642	Diclofenac	drug:3053	GSE54255	DB00586	0.00636752	0.0135703	0.164205	1.565190170605729E-4
KAT8	84148	Novel DORGE-TSG	0.748824004747642	Interferongamma-1b	drug:2476	GSE5542	DB00033	0.00679652	0.0148962	0.119977	3.139717425431711E-4
KAT8	84148	Novel DORGE-TSG	0.748824004747642	Plx4032	drug:2558	GSE50649	DB05238	0.0159864	0.04888	0.264804	2.759381898454746E-4
KAT8	84148	Novel DORGE-TSG	0.748824004747642	Imatinib	drug:2764	GSE24493	DB00619	0.0287812	0.0468822	0.150356	1.539882968894364E-4
MYOF	26509	Novel DORGE-TSG	0.866879635534351	Dmnq(2,3-dimethoxy-1,4-naphthoquinone)	drug:3527	GSE6907		4.52349E-8	3.43447E-6	3.10731	3.549875754348598E-4
MYOF	26509	Novel DORGE-TSG	0.866879635534351	Ribavirin	drug:2481	GSE23031	DB00811	2.1119E-7	6.50381E-6	0.964796	1.899335232668566E-4
MYOF	26509	Novel DORGE-TSG	0.866879635534351	Nickel	drug:3531	GSE6907		3.13796E-7	6.97883E-6	2.31386	4.428697962798937E-4
MYOF	26509	Novel DORGE-TSG	0.866879635534351	Lapatinib	drug:2584	GSE38376	DB01259	4.22026E-7	2.45741E-5	0.774308	5.824111822947001E-4
MYOF	26509	Novel DORGE-TSG	0.866879635534351	Plx4032	drug:2558	GSE50649	DB05238	1.30832E-6	3.6557E-5	1.10229	2.759381898454746E-4
MYOF	26509	Novel DORGE-TSG	0.866879635534351	4-hydroxynonenal	drug:3078	GSE2397		1.42271E-6	9.53833E-5	0.294865	2.604845011721803E-4
MYOF	26509	Novel DORGE-TSG	0.866879635534351	Interferonbeta-1a	drug:3186	GSE26104	DB00060	1.4933E-6	1.26832E-4	1.31611	2.985965959988056E-4
MYOF	26509	Novel DORGE-TSG	0.866879635534351	Bicalutamide	drug:3088	GSE7708	DB01128	1.60767E-6	1.41391E-5	1.03729	1.213444970270598E-4
MYOF	26509	Novel DORGE-TSG	0.866879635534351	Antimony	drug:3532	GSE6907		4.87878E-6	1.47209E-5	1.30936	2.347417840375587E-4
MYOF	26509	Novel DORGE-TSG	0.866879635534351	Pd173074	drug:2578	GSE52452		5.08085E-6	1.02903E-4	0.4246	2.809778027535825E-4
MYOF	26509	Novel DORGE-TSG	0.866879635534351	Interferonbeta-1b	drug:3343	GSE26104	DB00068	6.23552E-6	4.8544E-5	0.440278	1.696928559307653E-4
MYOF	26509	Novel DORGE-TSG	0.866879635534351	Interferonbeta-1a	drug:3187	GSE26104	DB00060	7.13332E-6	2.37071E-4	1.13944	2.410219329959026E-4
MYOF	26509	Novel DORGE-TSG	0.866879635534351	Dasatinib	drug:3306	GSE59357	DB01254	9.53679E-6	4.2916E-5	0.704325	1.271617497456765E-4
MYOF	26509	Novel DORGE-TSG	0.866879635534351	Cocaine	drug:2472	GSE54839		1.25191E-5	0.00732748	0.208774	0.006756756756756757
MYOF	26509	Novel DORGE-TSG	0.866879635534351	Tretinoin	drug:3233	GSE23702	DB00755	1.84243E-5	4.49413E-5	0.496667	1.034875297526648E-4
MYOF	26509	Novel DORGE-TSG	0.866879635534351	Dexamethasone	drug:3169	GSE34313	DB01234	2.34399E-5	2.94281E-4	0.566462	2.454590083456063E-4
MYOF	26509	Novel DORGE-TSG	0.866879635534351	Cytarabine	drug:3424	GSE6930	DB00987	2.7744E-5	1.83615E-4	1.41397	3.41180484476288E-4
MYOF	26509	Novel DORGE-TSG	0.866879635534351	Actinomycind	drug:3098	GSE6400		3.87655E-5	2.17031E-4	0.404601	1.133529811834051E-4
MYOF	26509	Novel DORGE-TSG	0.866879635534351	3,3',4,4'-tetrachlorobiphenyl	drug:3273	GSE6878		4.34596E-5	0.00304612	1.46098	5.012531328320802E-4
MYOF	26509	Novel DORGE-TSG	0.866879635534351	Tretinoin	drug:2828	GSE23702	DB00755	5.06308E-5	1.15933E-4	0.396667	1.083071591032167E-4
MYOF	26509	Novel DORGE-TSG	0.866879635534351	Sulforaphane	drug:3445	GSE28813		9.08022E-5	9.39533E-4	0.865549	2.112378538234052E-4
MYOF	26509	Novel DORGE-TSG	0.866879635534351	Cytarabine	drug:3422	GSE6930	DB00987	9.93225E-5	0.00103864	1.81536	3.454231433506045E-4
MYOF	26509	Novel DORGE-TSG	0.866879635534351	Cycloheximide	drug:3059	GSE8597		1.05729E-4	4.79558E-4	0.331615	2.105706464518846E-4
MYOF	26509	Novel DORGE-TSG	0.866879635534351	Foretinib	drug:2582	GSE16179		1.78991E-4	0.0344885	1.95023	0.009433962264150943
MYOF	26509	Novel DORGE-TSG	0.866879635534351	Interferonbeta-1a	drug:3188	GSE26104	DB00060	2.11607E-4	0.0285511	0.980556	0.005617977528089887
MYOF	26509	Novel DORGE-TSG	0.866879635534351	Arachidonicacid	drug:3171	GSE3737	DB04557	3.31226E-4	0.00193317	1.79222	1.329080276448698E-4
MYOF	26509	Novel DORGE-TSG	0.866879635534351	R1881	drug:3049	GSE22606		4.75779E-4	0.00450685	0.74365	4.257130693912303E-4
